,flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
0,2014-06-03T03:58:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-03T03:58Z,2014-06-03T04:09Z,2014-06-03T04:17Z,M1.3,S06E30,12077.0,,,2014-06-05T19:55Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5646/-1
1,2014-06-06T19:28:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-06T19:28Z,2014-06-06T19:31Z,2014-06-06T19:36Z,M1.4,S12E25,12080.0,,,2014-06-07T12:37Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5684/-1
2,2014-06-10T06:20:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-10T06:20Z,2014-06-10T06:28Z,2014-06-10T06:44Z,C2.4,S12W25,12080.0,,,2014-06-10T07:41Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5719/-1
3,2014-06-10T06:59:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-10T06:59Z,2014-06-10T07:00Z,2014-06-10T07:10Z,C1.7,S12W25,12080.0,Not 100% sure on the source region,,2014-06-10T07:42Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5720/-1
4,2014-06-10T08:19:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-10T08:19Z,2014-06-10T08:42Z,2014-06-10T08:46Z,C3.9,S20E90,,,,2014-06-10T08:19Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5721/-1
5,2014-06-10T10:04:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-10T10:04Z,2014-06-10T10:17Z,2014-06-10T10:44Z,C5.0,S20E90,,,,2014-06-10T10:46Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5722/-1
6,2014-06-10T11:38:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-10T11:38Z,2014-06-10T11:42Z,2014-06-10T11:47Z,X2.2,S18E85,12087.0,The flare is from the old AR2065 newly rotated onto the solar disk and renamed into AR2087,[{'activityID': '2014-06-10T12:24:00-CME-001'}],2014-06-10T12:58Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5723/-1
7,2014-06-10T12:38:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-10T12:38Z,2014-06-10T12:52Z,2014-06-10T13:07Z,X1.5,S19E89,12087.0,,[{'activityID': '2014-06-10T13:09:00-CME-001'}],2014-06-10T12:59Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5726/-1
8,2014-06-11T05:30:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-11T05:30Z,2014-06-11T05:34Z,2014-06-11T05:36Z,M1.8,S12W35,12080.0,,,2014-06-18T18:44Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5821/-1
9,2014-06-11T08:00:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-11T08:00Z,2014-06-11T08:09Z,2014-06-11T08:15Z,M3.0,S18E68,12087.0,,,2014-06-18T18:45Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5822/-1
10,2014-06-11T08:59:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-11T08:59Z,2014-06-11T09:06Z,2014-06-11T09:10Z,X1.0,S18E66,12087.0,,,2014-06-11T12:00Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5743/-1
11,2014-06-11T20:53:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-11T20:53Z,2014-06-11T21:03Z,2014-06-11T21:10Z,M3.9,S18E59,12087.0,,,2014-06-12T12:05Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5753/-1
12,2014-06-12T04:14:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-12T04:14Z,2014-06-12T04:21Z,2014-06-12T04:32Z,M2.0,S18E55,12087.0,,,2014-06-12T11:49Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5754/-1
13,2014-06-12T09:24:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-12T09:24Z,2014-06-12T09:37Z,2014-06-12T09:44Z,M1.8,S18W48,12085.0,,,2014-06-12T11:48Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5755/-1
14,2014-06-12T10:14:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-12T10:14Z,2014-06-12T10:21Z,2014-06-12T10:45Z,M2.7,S18E52,12087.0,,,2014-06-12T13:41Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5756/-1
15,2014-06-12T18:03:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-12T18:03Z,2014-06-12T18:13Z,2014-06-12T18:23Z,M1.3,S18E47,12087.0,,,2014-06-12T18:57Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5759/-1
16,2014-06-12T19:56:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-12T19:56Z,2014-06-12T20:03Z,2014-06-12T20:05Z,M1.1,N18E05,12089.0,,,2014-06-13T14:06Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5773/-1
17,2014-06-12T21:01:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-12T21:01Z,2014-06-12T21:13Z,2014-06-12T21:19Z,M1.0,S18E46,12087.0,,,2014-06-12T22:06Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5764/-1
18,2014-06-12T21:39:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-12T21:39Z,2014-06-12T22:16Z,2014-06-12T22:52Z,M3.1,S23W58,12085.0,very gradual rise phase for a flare,[{'activityID': '2014-06-12T22:12:00-CME-001'}],2014-06-13T14:11Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5768/-1
19,2014-06-13T07:49:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-13T07:49Z,2014-06-13T07:56Z,2014-06-13T07:59Z,M2.6,S18E39,12087.0,,,2014-06-13T14:09Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5772/-1
20,2014-06-14T19:25:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-14T19:25Z,2014-06-14T19:29Z,2014-06-14T19:34Z,M1.4,S10E90,,"unnumbered AR at SE limb (limb flare, might be obscured), location from SDO 131 images",[{'activityID': '2014-06-14T19:48:00-CME-001'}],2014-06-14T20:28Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5779/-1
21,2014-06-15T11:10:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-15T11:10Z,2014-06-15T11:39Z,2014-06-15T11:50Z,M1.1,S19W91,12085.0,,,2014-06-15T12:55Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5786/-1
22,2014-06-15T23:44:00-FLR-001,[{'displayName': 'GOES15: SEM/XRS 1.0-8.0'}],2014-06-15T23:44Z,2014-06-16T00:01Z,2014-06-15T00:17Z,M1.0,S20E08,12087.0,,,2014-06-18T18:47Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/5793/-1
