flrID,instruments,beginTime,peakTime,endTime,classType,sourceLocation,activeRegionNum,note,linkedEvents,submissionTime,link
2023-12-01T02:52:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-12-01T02:52Z,2023-12-01T03:11Z,2023-12-01T03:24Z,C4.8,N18W90,,"This flare occurred near the NW limb and is possibly associated with Active Region 13492, 13497 or a region just on/beyond the western limb.",[{'activityID': '2023-12-01T03:24:00-CME-001'}],2023-12-01T17:03Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27956/-1
2023-12-01T04:12:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-12-01T04:12Z,2023-12-01T04:39Z,2023-12-01T05:07Z,M1.1,N12W80,13502.0,,,2023-12-01T15:56Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27944/-1
2023-12-01T11:48:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-12-01T11:48Z,2023-12-01T11:59Z,2023-12-01T12:05Z,C5.2,S20W38,13500.0,,[{'activityID': '2023-12-01T12:36:00-CME-001'}],2023-12-01T18:41Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27961/-1
2023-12-01T20:55:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-12-01T20:55Z,2023-12-01T21:20Z,2023-12-01T22:10Z,M1.0,S18W40,13500.0,Simultaneous impulsive flare from AR 13493 (S13W73) and emission associated with post-eruptive arcades from AR 13500 (S18W40).,[{'activityID': '2023-12-01T22:24:00-CME-001'}],2023-12-02T15:44Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/27969/-1
2023-12-05T06:39:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-12-05T06:39Z,2023-12-05T06:44Z,2023-12-05T06:48Z,M1.5,N18E73,13513.0,This flare directly precedes a C5.3 class flare from AR 3500 peaking at 2023-12-05T06:58Z.,,2023-12-05T17:29Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28014/-1
2023-12-05T06:48:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-12-05T06:48Z,2023-12-05T06:58Z,2023-12-05T07:06Z,C5.3,S18W90,13500.0,This flare directly follows the M1.5 flare from AR 3513 peaking at 2023-12-05T06:44Z with end time 2023-12-05T06:48Z.,[{'activityID': '2023-12-05T07:48:00-CME-001'}],2023-12-05T17:51Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28017/-1
2023-12-05T20:59:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-12-05T20:59Z,2023-12-05T21:10Z,2023-12-05T21:17Z,M1.0,N19E69,13513.0,,,2023-12-05T23:32Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28030/-1
2023-12-05T21:17:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-12-05T21:17Z,2023-12-05T21:20Z,2023-12-05T21:25Z,M1.4,N19E69,13513.0,,,2023-12-05T23:31Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28031/-1
2023-12-06T05:30:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-12-06T05:30Z,2023-12-06T05:41Z,2023-12-06T05:52Z,M2.1,N19E65,13513.0,,,2023-12-06T13:06Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28033/-1
2023-12-06T21:26:00-FLR-001,[{'displayName': 'GOES-P: EXIS 1.0-8.0'}],2023-12-06T21:26Z,2023-12-06T21:44Z,2023-12-06T21:55Z,M2.3,N19E55,13513.0,,,2023-12-06T22:17Z,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/FLR/28042/-1
