index,id,terrestrial_date,sol,ls,season,min_temp,max_temp,pressure,wind_speed,atmo_opacity
0,3476,2022-11-25,3663,344,Month 12,-72.0,-44.0,817.0,,Sunny
1,3474,2022-11-24,3662,343,Month 12,-72.0,-9.0,800.0,,Sunny
2,3478,2022-11-23,3661,342,Month 12,-73.0,-8.0,797.0,,Sunny
3,3477,2022-11-22,3660,342,Month 12,-72.0,-10.0,798.0,,Sunny
4,3479,2022-11-21,3659,341,Month 12,-72.0,-12.0,798.0,,Sunny
5,3475,2022-11-20,3658,341,Month 12,-71.0,-16.0,798.0,,Sunny
6,3472,2022-11-19,3657,340,Month 12,-71.0,-6.0,797.0,,Sunny
7,3471,2022-11-18,3656,340,Month 12,-70.0,-8.0,800.0,,Sunny
8,3473,2022-11-17,3655,339,Month 12,-70.0,-7.0,797.0,,Sunny
9,3470,2022-11-16,3654,339,Month 12,-70.0,-8.0,796.0,,Sunny
10,3465,2022-11-15,3653,338,Month 12,-70.0,-7.0,797.0,,Sunny
11,3468,2022-11-14,3652,338,Month 12,-70.0,-10.0,794.0,,Sunny
12,3466,2022-11-13,3651,337,Month 12,-70.0,-8.0,797.0,,Sunny
13,3464,2022-11-12,3650,336,Month 12,-70.0,-15.0,795.0,,Sunny
14,3469,2022-11-11,3649,336,Month 12,-69.0,-14.0,798.0,,Sunny
15,3467,2022-11-10,3648,335,Month 12,-72.0,-7.0,796.0,,Sunny
16,3463,2022-11-09,3647,335,Month 12,-72.0,-8.0,796.0,,Sunny
17,3462,2022-11-08,3646,334,Month 12,-70.0,-11.0,798.0,,Sunny
18,3460,2022-11-07,3645,334,Month 12,-72.0,-9.0,797.0,,Sunny
19,3459,2022-11-06,3644,333,Month 12,-70.0,-12.0,797.0,,Sunny
20,3461,2022-11-04,3642,332,Month 12,-69.0,-17.0,796.0,,Sunny
21,3458,2022-11-03,3641,331,Month 12,-68.0,-18.0,798.0,,Sunny
22,3457,2022-11-02,3640,331,Month 12,-70.0,-17.0,798.0,,Sunny
23,3456,2022-11-01,3639,330,Month 12,-70.0,-14.0,798.0,,Sunny
24,3451,2022-10-31,3638,330,Month 12,-69.0,-9.0,799.0,,Sunny
25,3453,2022-10-30,3637,329,Month 11,-69.0,-7.0,799.0,,Sunny
26,3454,2022-10-29,3636,329,Month 11,-68.0,-7.0,799.0,,Sunny
27,3452,2022-10-28,3635,328,Month 11,-68.0,-11.0,799.0,,Sunny
28,3455,2022-10-26,3634,327,Month 11,-69.0,-8.0,800.0,,Sunny
29,3450,2022-10-25,3633,327,Month 11,-69.0,-12.0,800.0,,Sunny
30,3446,2022-10-24,3632,326,Month 11,-67.0,-10.0,803.0,,Sunny
31,3449,2022-10-23,3631,326,Month 11,-69.0,-8.0,803.0,,Sunny
32,3445,2022-10-22,3630,325,Month 11,-69.0,-5.0,803.0,,Sunny
33,3447,2022-10-21,3629,325,Month 11,-68.0,-6.0,804.0,,Sunny
34,3448,2022-10-20,3628,324,Month 11,-70.0,-12.0,802.0,,Sunny
35,3444,2022-10-19,3627,323,Month 11,-67.0,-9.0,803.0,,Sunny
36,3443,2022-10-18,3626,323,Month 11,-67.0,-12.0,804.0,,Sunny
37,3441,2022-10-17,3625,322,Month 11,-67.0,-11.0,804.0,,Sunny
38,3442,2022-10-16,3624,322,Month 11,-67.0,-12.0,806.0,,Sunny
39,3439,2022-10-15,3623,321,Month 11,-67.0,-12.0,808.0,,Sunny
40,3438,2022-10-14,3622,321,Month 11,-66.0,-12.0,809.0,,Sunny
